frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000502,1.912733,3.406882,8.734033,14.053648
1,1974928,0.042595,2.031228,2.010260,6.613334,10.654822
2,1970544,0.143394,1.811536,2.187837,18.126136,22.125509
3,1969104,0.091924,1.549167,2.262549,5.384943,9.196659
4,1965696,0.092547,1.991401,2.626032,4.284241,8.901674
5,1964672,0.091499,1.662234,2.262701,14.382118,18.307053
6,1967072,0.033906,1.780944,2.182466,5.747781,9.711191
7,1970800,0.133279,1.823006,1.729720,5.386284,8.939010
8,1973888,0.131291,1.628566,2.092524,14.423573,18.144663
9,1975120,0.028445,1.916385,2.035267,5.445351,9.397003
10,1977104,0.100149,1.755305,1.723767,4.771619,8.250691
11,1981056,0.023329,1.636931,2.257691,15.739486,19.634108
12,1981648,0.042258,1.864907,1.834122,6.628242,10.327271
13,1983808,0.031693,1.819452,2.094530,5.007188,8.921170
14,1984624,0.035428,1.756949,1.738193,16.064135,19.559277
15,1984912,0.145812,1.541135,1.798597,5.390016,8.729748
16,1984768,0.088803,1.615826,2.331549,5.051876,8.999251
17,1983472,0.028906,1.788004,2.567650,16.462524,20.818178
18,1985184,0.103230,1.821123,1.734535,6.687165,10.242823
19,1986000,0.033783,1.771150,1.737330,5.378826,8.887306
20,1985344,0.144768,1.929072,1.787113,19.590555,23.306740
21,1984512,0.086350,1.585463,2.070866,5.603702,9.260031
22,1983296,0.107361,1.663171,2.322686,5.179958,9.165815
23,1981536,0.089997,1.615289,2.296666,16.535270,20.447225
24,1981424,0.107991,1.581202,1.796617,6.256007,9.633826
25,1980576,0.036523,1.981358,1.860081,4.657528,8.498967
26,1978448,0.094354,1.742483,1.991560,13.821364,17.555407
27,1977776,0.130247,1.641329,2.241115,6.153221,10.035665
28,1976736,0.108036,1.654539,2.061157,4.738947,8.454643
29,1976352,0.035886,1.704175,2.133282,14.699137,18.536594
30,1974416,0.044322,1.648851,2.315170,5.345723,9.309744
31,1974544,0.027213,1.595137,2.172770,4.893929,8.661836
32,1974144,0.028432,1.567544,2.218962,14.263140,18.049646
33,1971136,0.121545,1.783229,2.626832,4.919646,9.329707
34,1970784,0.108106,1.808767,1.726254,6.580920,10.115941
35,1970128,0.038883,1.901351,2.143099,18.736388,22.780838
36,1967584,0.040956,2.193855,1.997286,6.261029,10.452170
37,1964496,0.036690,1.715905,1.716627,6.344860,9.777392
38,1963056,0.041541,1.747683,2.027876,16.240081,20.015640
39,1959472,0.097665,1.660562,1.776899,5.223199,8.660660
40,1952416,0.115934,1.699963,1.993963,5.048214,8.742140
41,1949728,0.108403,1.482763,1.773064,13.438827,16.694654
42,1945248,0.023580,1.527257,2.179953,5.280785,8.987995
43,1941040,0.031555,1.542763,2.234360,4.683570,8.460693
44,1928896,0.023392,1.496383,2.021857,14.885371,18.403611
45,1918608,0.106745,1.617233,2.669417,5.891348,10.177998
46,1917904,0.028292,1.525908,2.367229,4.629319,8.522456
47,1913488,0.090055,1.559555,1.996617,15.512493,19.068665
48,1917008,0.028011,0.794840,1.677204,5.799885,8.271929
49,1924128,0.027935,0.927278,2.221291,4.067453,7.216022
50,1932400,0.113578,0.897007,2.039981,12.937787,15.874775
51,1934800,0.118089,0.855639,2.065532,5.605039,8.526210
52,1933488,0.041644,0.746642,2.248279,3.695009,6.689930
53,1937088,0.025218,0.716446,2.020827,12.766504,15.503777
54,1940176,0.028150,0.582796,1.734217,3.997457,6.314470
55,1939808,0.107866,0.731518,2.396654,4.280322,7.408494
56,1941552,0.032336,0.791935,1.854763,15.539484,18.186182
57,1946304,0.133036,0.722770,1.769886,4.689712,7.182368
58,1949504,0.112897,0.798814,1.702904,4.716023,7.217741
59,1952144,0.095689,0.744544,2.228179,13.837395,16.810118
60,1956048,0.109200,0.812446,1.710025,4.719420,7.241891
61,1955760,0.027611,0.723634,2.243371,4.110001,7.077006
62,1957472,0.020047,0.726724,2.567862,13.613530,16.908116
63,1955760,0.118416,0.724772,2.042530,5.424207,8.191509
64,1955520,0.036503,0.801471,1.713570,5.053857,7.568898
65,1954928,0.032485,0.849423,2.461824,14.797516,18.108763
66,1954048,0.113172,0.792910,1.712802,5.855395,8.361107
67,1953664,0.037590,0.783113,1.709561,4.903382,7.396056
68,1952576,0.135789,0.804550,1.714883,16.425993,18.945426
69,1951120,0.066960,0.810853,1.708273,5.983248,8.502374
70,1949344,0.035784,0.808150,1.708693,6.156623,8.673466
71,1948960,0.025091,0.741464,1.703516,14.642736,17.087716
72,1948432,0.143544,0.835623,1.808347,5.328805,7.972775
73,1950592,0.031982,0.723120,2.037788,4.176772,6.937680
74,1952816,0.107438,0.725859,2.115149,13.358873,16.199881
75,1953488,0.086611,0.732278,2.520061,4.471982,7.724321
76,1949696,0.082113,0.680319,1.767351,3.575233,6.022903
77,1945600,0.038414,0.783188,1.704684,15.214257,17.702129
78,1942848,0.122371,0.826752,1.724372,6.219219,8.770343
79,1942272,0.046338,0.830894,1.698466,3.983852,6.513212
80,1947408,0.141547,0.802880,1.709371,16.499541,19.011792
81,1955120,0.032319,0.817075,1.716107,7.223903,9.757085
82,1955792,0.037026,0.805851,1.707394,5.137124,7.650369
83,1950272,0.032692,0.997320,2.731101,14.397032,18.125453
84,1949536,0.125633,0.779506,1.705728,4.778855,7.264089
85,1960896,0.123724,0.831177,1.714532,5.060686,7.606395
86,1971648,0.036340,0.826087,2.055821,17.638647,20.520555
87,1977888,0.043116,0.799137,1.747600,6.035213,8.581950
88,1977216,0.041155,0.822544,1.983369,5.088136,7.894049
89,1969840,0.041654,0.815965,1.724003,14.095541,16.635509
90,1959328,0.034193,0.799072,1.720162,5.390791,7.910025
91,1961600,0.103336,0.790478,1.715151,4.469848,6.975477
92,1967408,0.125468,0.736655,2.052736,13.778355,16.567746
93,1974320,0.135026,0.885669,2.063411,4.369069,7.318149
94,1978448,0.030229,0.825278,2.594802,3.992114,7.412194
95,1985744,0.025887,0.723508,2.079198,13.035262,15.837968
96,1992048,0.020258,1.883347,1.808445,6.579993,10.271785
97,1995264,0.126371,1.875308,2.468371,5.951623,10.295302
98,1993232,0.042815,1.893771,2.109122,14.509392,18.512285
99,1994624,0.084778,1.747448,1.746788,6.494075,9.988311
