frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000381,1.850117,4.260697,7.350211,13.461025
1,1974928,0.123040,2.282660,2.253353,5.865043,10.401056
2,1970544,0.036068,1.831870,2.172330,16.427567,20.431767
3,1969104,0.029048,1.525253,2.203993,5.416407,9.145653
4,1965696,0.018647,1.388901,2.366476,4.175579,7.930956
5,1964672,0.298406,1.845443,2.867299,15.391997,20.104739
6,1967072,0.298668,1.952322,2.714366,5.448991,10.115679
7,1970800,0.042524,1.658082,2.526263,5.352844,9.537189
8,1973888,0.023326,1.727530,2.366532,16.549834,20.643896
9,1975120,0.025144,1.740754,2.823785,5.464889,10.029428
10,1977104,0.166417,1.826449,2.068762,5.454695,9.349906
11,1981056,0.022505,1.367135,2.345003,16.016296,19.728434
12,1981648,0.036120,1.592565,3.466963,6.410466,11.469994
13,1983808,0.065430,1.860644,1.912814,6.296349,10.069807
14,1984624,0.024480,1.646998,2.627891,14.383748,18.658637
15,1984912,0.101242,1.594120,2.380977,6.125244,10.100341
16,1984768,0.098488,1.302667,2.313774,6.005962,9.622403
17,1983472,0.018003,1.547657,2.714977,15.635279,19.897913
18,1985184,0.029498,2.201708,2.272923,5.750377,10.225008
19,1986000,0.030362,1.609142,2.303260,7.668522,11.580924
20,1985344,0.033715,2.001554,2.477764,15.004656,19.483974
21,1984512,0.084731,1.326740,2.282150,6.982285,10.591175
22,1983296,0.024316,1.307471,2.281282,4.240261,7.829014
23,1981536,0.095832,1.810252,2.179242,16.519935,20.509429
24,1981424,0.020897,1.264361,2.170922,5.437909,8.873192
25,1980576,0.026549,1.558702,2.194595,6.169920,9.923217
26,1978448,0.100563,1.574861,2.258416,15.368077,19.201354
27,1977776,0.100938,1.641658,2.412166,5.347932,9.401756
28,1976736,0.095454,1.664659,2.630927,4.672231,8.967817
29,1976352,0.018637,1.439083,2.403569,12.813959,16.656611
30,1974416,0.366483,1.770819,2.343634,5.488992,9.603445
31,1974544,0.299506,1.748012,2.383928,4.632981,8.764921
32,1974144,0.374493,1.840430,2.580525,14.263121,18.684076
33,1971136,0.021556,1.316222,2.319488,5.140500,8.776210
34,1970784,0.088945,1.629366,2.257715,4.661785,8.548866
35,1970128,0.022802,1.535316,2.230786,14.904285,18.670387
36,1967584,0.112378,1.587125,2.185066,5.617136,9.389327
37,1964496,0.381164,2.041820,2.462464,4.703958,9.208242
38,1963056,0.116513,1.737603,2.441339,13.986376,18.165318
39,1959472,0.370136,1.797020,1.992448,4.976062,8.765530
40,1952416,0.027770,1.630553,2.263053,4.810075,8.703681
41,1949728,0.061403,2.265961,1.736425,16.833175,20.835561
42,1945248,0.118177,1.343595,2.307653,5.519706,9.170954
43,1941040,0.142361,2.242107,2.270688,4.148235,8.661030
44,1928896,0.026360,1.500433,2.329432,15.928623,19.758488
45,1918608,0.085088,1.761611,1.748945,5.226786,8.737342
46,1917904,0.082392,1.625865,2.287653,4.991546,8.905064
47,1913488,0.342419,1.676815,2.429063,14.788300,18.894178
48,1917008,0.281465,0.743853,2.767013,4.362764,7.873630
49,1924128,0.025217,0.724872,2.058787,3.991475,6.775134
50,1932400,0.036569,0.783305,2.145995,13.731110,16.660410
51,1934800,0.120928,0.874680,2.544962,4.619071,8.038713
52,1933488,0.141556,0.879930,2.476866,3.589906,6.946702
53,1937088,0.092120,0.747330,2.035910,14.836208,17.619448
54,1940176,0.028045,0.702818,2.287342,4.517720,7.507880
55,1939808,0.026066,0.708713,2.242114,3.693052,6.643879
56,1941552,0.082910,0.695368,2.227586,12.900614,15.823568
57,1946304,0.022433,0.694104,2.180214,4.568394,7.442712
58,1949504,0.100764,0.979362,3.091069,4.099975,8.170406
59,1952144,0.114169,0.788235,2.444533,14.776966,18.009734
60,1956048,0.023211,0.791980,2.462209,5.857601,9.111790
61,1955760,0.170238,0.763554,2.354169,4.313520,7.431243
62,1957472,0.026756,0.741438,2.190258,12.065774,14.997470
63,1955760,0.305772,0.941948,2.492540,4.870530,8.305018
64,1955520,0.136840,0.866732,1.710933,4.175465,6.753130
65,1954928,0.023103,0.494006,2.130277,12.219198,14.843481
66,1954048,0.024146,0.473315,2.103431,4.081368,6.658114
67,1953664,0.020731,0.701375,2.177363,3.818430,6.697168
68,1952576,0.025733,0.731290,2.439440,14.229977,17.400707
69,1951120,0.286759,0.903813,2.443699,4.956357,8.303869
70,1949344,0.151994,0.865800,2.096780,3.763564,6.726144
71,1948960,0.149077,0.749487,2.382782,14.164513,17.296782
72,1948432,0.023465,0.449221,1.761279,3.293201,5.503701
73,1950592,0.240098,0.551224,2.322349,3.042264,5.915837
74,1952816,0.026898,0.723153,2.632478,13.657229,17.012860
75,1953488,0.025581,0.718274,2.504191,4.224664,7.447129
76,1949696,0.085554,0.486722,2.225999,3.450569,6.163290
77,1945600,0.026810,0.723131,2.259077,13.322486,16.304694
78,1942848,0.020636,0.731090,2.683169,4.137757,7.552016
79,1942272,0.028557,0.650180,2.424307,3.619641,6.694128
80,1947408,0.299457,0.784841,2.704777,14.359766,17.849384
81,1955120,0.286336,0.864911,2.456044,4.963007,8.283962
82,1955792,0.378764,0.945499,2.498417,3.780102,7.224018
83,1950272,0.139042,0.747878,2.309532,13.532672,16.590082
84,1949536,0.105773,0.839909,1.778517,4.414938,7.033364
85,1960896,0.177119,1.602945,3.113157,5.089977,9.806079
86,1971648,0.127658,1.029262,2.683017,13.977154,17.689433
87,1977888,0.240619,0.490189,2.361011,3.856065,6.707265
88,1977216,0.032734,0.777949,2.357546,3.702690,6.838185
89,1969840,0.126332,0.709306,2.398129,13.727562,16.834997
90,1959328,0.287709,0.772546,2.612921,4.545778,7.931245
91,1961600,0.286610,0.838905,2.728194,4.787240,8.354339
92,1967408,0.293229,0.845812,3.213585,13.793862,17.853259
93,1974320,0.323061,0.768567,2.625771,4.812556,8.206894
94,1978448,0.290856,0.774168,2.637955,3.772800,7.184923
95,1985744,0.304327,0.924967,2.906336,14.030400,17.861703
96,1992048,0.018297,1.751876,2.560842,5.868809,10.181527
97,1995264,0.089035,2.294296,2.642432,4.311501,9.248229
98,1993232,0.116001,1.716253,2.504418,15.254042,19.474713
99,1994624,0.016358,1.330383,2.140484,5.006691,8.477558
