frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1994688,0.000375,1.713907,3.800094,4.171950,9.685951
1,1993680,0.086397,1.583117,1.907787,5.169711,8.660615
2,1991648,0.061362,1.885066,2.067838,4.798493,8.751397
3,1986672,0.093966,1.946883,2.951743,4.366820,9.265446
4,1983504,0.145898,2.108079,2.731513,4.088687,8.928279
5,1982784,0.261024,2.249194,2.207504,5.252184,9.708882
6,1973968,0.104420,2.160222,2.785692,3.754121,8.700035
7,1964240,0.121208,2.479040,3.000005,4.507601,9.986646
8,1953968,0.126603,1.922419,2.530292,4.197342,8.650053
9,1941712,0.283297,1.776346,2.092915,5.071122,8.940383
10,1936288,0.021394,1.748423,2.487083,3.743830,7.979336
11,1935120,0.017039,1.578638,2.472110,3.611761,7.662509
12,1928048,0.017453,1.700582,2.070446,4.149682,7.920710
13,1924720,0.111457,0.806484,3.039729,4.785012,8.631225
14,1926496,0.114476,0.804451,2.558160,3.253407,6.616018
15,1936368,0.039796,0.741124,2.038034,3.586122,6.365280
16,1949472,0.139206,0.832043,3.099781,3.267005,7.198829
17,1969712,0.030015,0.770148,3.004779,3.333138,7.108065
18,1983040,0.102409,0.780403,2.491402,3.218587,6.490392
19,1988816,0.129201,0.852291,3.409322,3.569102,7.830715
20,1992848,0.052312,0.925706,3.452823,3.359038,7.737567
21,1994496,0.051165,0.815827,2.599366,3.047835,6.463028
22,1994304,0.042562,0.774655,2.659339,3.331279,6.765273
23,1992416,0.035918,0.786254,2.183248,3.349249,6.318751
24,1992320,0.044000,0.843809,2.970587,3.150897,6.965293
25,1993600,0.114211,0.834377,3.025126,3.308191,7.167694
26,1992800,0.129697,0.865308,2.373200,3.146974,6.385482
27,1987872,0.117775,1.064750,2.654443,3.950772,7.669965
28,1986608,0.046228,0.886136,2.327310,3.891996,7.105442
29,1984288,0.046679,0.850370,2.615619,3.182712,6.648701
30,1986144,0.050141,2.568972,2.741120,3.562323,8.872415
31,1986240,0.133253,2.600172,2.651493,3.187713,8.439378
32,1982912,0.103228,2.343949,2.685320,3.303480,8.332749
33,1981216,0.028511,5.991953,2.578762,4.462695,13.033410
34,1976032,0.039971,2.058156,2.860095,3.355410,8.273661
35,1968096,0.036910,5.430332,2.332411,3.277638,11.040381
36,1963984,0.030759,2.309661,2.621738,4.948733,9.880132
37,1958064,0.038413,1.890132,2.218150,3.008279,7.116561
38,1947808,0.125302,2.337625,2.753068,3.907151,8.997844
39,1943952,0.085337,2.039055,2.796500,3.152472,7.988027
40,1938368,0.099394,2.186872,2.810063,3.301748,8.298683
41,1925744,0.036098,2.099078,2.680814,3.183967,7.963859
42,1911264,0.038323,1.992592,2.220779,3.749055,7.962426
43,1894384,0.144778,2.109674,2.263700,3.075554,7.448928
44,1870096,0.035107,2.001857,2.553394,4.106569,8.661820
45,1831936,0.104314,2.184021,2.113243,3.111856,7.409120
46,1810224,0.035617,4.529830,2.265761,2.929605,9.725196
47,1820960,0.033063,2.164330,2.096942,2.738282,6.999554
48,1855584,0.019204,2.458845,2.352544,3.844290,8.655679
49,1874496,0.034091,2.354635,2.442634,2.382205,7.179474
50,1898176,0.034998,1.910264,2.301898,2.622549,6.834711
51,1917280,0.038440,2.218383,2.702607,3.133502,8.054492
52,1932736,0.116166,2.232639,1.997126,3.244913,7.474678
53,1950256,0.025430,2.486964,2.945397,4.858682,10.291043
54,1962224,0.123820,2.658933,2.779657,3.266890,8.705480
55,1973488,0.046198,2.187233,2.222504,3.155488,7.565225
56,1971712,0.042970,2.418039,2.915330,3.452069,8.785438
57,1970080,0.192805,2.574916,1.727590,4.142730,8.445236
58,1966864,0.031788,2.223660,1.724718,3.628251,7.576629
59,1963248,0.043740,2.613822,2.900824,3.210696,8.725342
60,1961104,0.048739,2.715725,2.978296,2.695753,8.389774
61,1954576,0.033155,2.485836,2.758583,2.718879,7.963298
62,1947712,0.090628,2.152417,2.765441,2.861724,7.779582
