frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000288,1.703968,3.680072,4.052412,9.436452
1,1974928,0.100319,1.488193,2.417712,3.753246,7.659151
2,1970544,0.020611,1.832815,2.504794,4.182639,8.520248
3,1969104,0.024020,1.982471,2.512440,4.783132,9.278043
4,1965696,0.020426,1.973814,2.139134,4.443263,8.556211
5,1964672,0.019540,1.511338,2.198101,5.014898,8.724337
6,1967072,0.094796,1.508956,2.317538,5.061780,8.888274
7,1970800,0.105920,1.781392,2.209388,4.359538,8.350318
8,1973888,0.025283,1.581095,2.479045,4.094239,8.154379
9,1975120,0.019232,1.703271,2.413731,3.837646,7.954648
10,1977104,0.090439,1.603656,2.065586,4.273690,7.942932
11,1981056,0.021323,1.547971,2.712091,4.039707,8.299769
12,1981648,0.022768,0.912031,2.294630,4.841110,8.047771
13,1983808,0.124724,1.660552,2.718802,4.758887,9.138241
14,1984624,0.021082,0.677934,2.191691,3.573978,6.443603
15,1984912,0.019054,1.975816,2.149709,4.043975,8.169500
16,1984768,0.015211,1.632532,2.443734,4.609179,8.685445
17,1983472,0.018613,1.779625,2.788435,4.750840,9.318900
18,1985184,0.139358,1.920821,2.103524,4.179322,8.203667
19,1986000,0.026886,1.819738,2.296293,4.429907,8.545938
20,1985344,0.082477,1.733035,2.413870,3.726842,7.873747
21,1984512,0.020599,1.728298,2.450165,3.558961,7.737424
22,1983296,0.101185,1.991364,2.782350,4.187046,8.960760
23,1981536,0.096207,1.504267,2.103267,3.750538,7.358072
24,1981424,0.117889,1.809103,2.186093,5.292789,9.287985
25,1980576,0.116004,1.700359,2.171100,4.191326,8.062785
26,1978448,0.026355,1.724450,2.190454,4.044952,7.959856
27,1977776,0.089158,1.507118,2.309239,4.264542,8.080899
28,1976736,0.025540,1.658741,2.284387,4.239355,8.182483
29,1976352,0.020041,1.525095,2.258556,4.001030,7.784681
30,1974416,0.072933,1.557712,2.176210,3.865248,7.599170
31,1974544,0.021499,1.472178,2.414992,4.098646,7.985816
32,1974144,0.103250,1.766841,2.429827,4.823433,9.020101
33,1971136,0.026181,1.645450,2.588312,4.202827,8.436589
34,1970784,0.027754,1.569509,2.208525,3.960915,7.738949
35,1970128,0.017867,1.572031,2.193229,4.294928,8.060188
36,1967584,0.095579,1.497899,2.232644,4.231091,7.961634
