frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000288,1.538772,3.722907,5.718911,10.980590
1,1974928,0.096991,1.874936,2.080768,5.041118,8.996822
2,1970544,0.095062,1.847826,2.099615,7.697401,11.644842
3,1969104,0.116639,1.588270,2.233558,6.645728,10.467556
4,1965696,0.157329,1.760781,2.485374,7.023569,11.269724
5,1964672,0.021672,1.787230,2.258462,6.621703,10.667395
6,1967072,0.132097,1.833940,1.715496,5.350398,8.899834
7,1970800,0.022718,1.578923,2.250522,3.936160,7.765605
8,1973888,0.114721,1.740165,1.854151,4.176406,7.770722
9,1975120,0.022797,1.587485,2.241500,4.109313,7.938298
10,1977104,0.016138,1.440522,2.214050,5.055969,8.710541
11,1981056,0.091859,1.600536,1.745936,5.737543,9.084015
12,1981648,0.088871,0.516243,2.192759,4.065261,6.774263
13,1983808,0.024788,1.557682,2.195335,4.256967,8.009984
14,1984624,0.028903,0.874171,1.839313,5.880795,8.594279
15,1984912,0.084548,1.869872,2.212125,4.698832,8.780829
16,1984768,0.024011,1.797599,2.345869,3.870553,8.014021
17,1983472,0.026791,1.654909,2.112521,5.930350,9.697780
18,1985184,0.038072,1.874054,2.218176,6.667182,10.759412
19,1986000,0.103628,1.612354,2.284741,7.046050,10.943145
20,1985344,0.035894,1.770371,2.201702,4.631789,8.603862
21,1984512,0.303913,2.095172,2.766811,4.512604,9.374587
22,1983296,0.114229,1.538630,1.926893,4.224956,7.690479
23,1981536,0.111077,1.885183,1.724259,6.811760,10.421202
24,1981424,0.090975,1.583886,2.270041,5.494878,9.348805
25,1980576,0.092007,1.780785,2.311621,5.737642,9.830048
26,1978448,0.022115,1.573202,2.248642,4.238689,8.060533
27,1977776,0.030055,1.780504,2.219642,7.416432,11.416578
28,1976736,0.117687,1.636638,2.463591,5.869542,9.969771
29,1976352,0.033333,1.773895,2.210676,7.019471,11.004042
30,1974416,0.130754,1.967267,2.362013,5.993215,10.322495
31,1974544,0.156595,1.842783,1.729372,4.903087,8.475242
32,1974144,0.113867,1.894933,2.883338,5.739052,10.517323
33,1971136,0.028052,1.594602,2.185488,6.372576,10.152666
34,1970784,0.105920,1.860324,2.132404,6.181298,10.174026
35,1970128,0.029047,1.613402,2.235889,6.615402,10.464693
36,1967584,0.095385,1.712341,2.198109,6.378445,10.288895
37,1964496,0.031436,1.815771,2.092295,4.628615,8.536681
38,1963056,0.059002,1.773582,2.196817,6.204122,10.174521
39,1959472,0.135566,1.957350,2.120815,4.562506,8.640671
40,1952416,0.090722,1.577749,2.301378,4.564826,8.443953
41,1949728,0.117660,1.579014,2.184538,4.660258,8.423810
42,1945248,0.117255,1.792151,2.428209,4.633410,8.853770
43,1941040,0.057975,1.567920,2.388461,4.738211,8.694592
44,1928896,0.114216,1.754666,1.683477,6.910129,10.348272
45,1918608,0.027527,2.046531,2.383837,4.951077,9.381445
46,1917904,0.098125,0.737549,2.219966,2.867492,5.825007
47,1913488,0.130133,1.156747,2.121796,3.364980,6.643523
48,1917008,0.025006,0.715036,2.039028,4.029610,6.783674
49,1924128,0.098800,0.744703,2.140035,3.183131,6.067869
50,1932400,0.113139,0.854787,2.021074,3.300953,6.176814
51,1934800,0.124079,0.722155,2.315498,3.466970,6.504623
52,1933488,0.081509,0.744681,2.221359,2.858665,5.824705
53,1937088,0.030521,0.660046,2.306103,2.976061,5.942210
54,1940176,0.034465,0.852193,2.803734,3.274962,6.930889
55,1939808,0.028631,0.820783,1.689651,3.670489,6.180923
56,1941552,0.097312,0.735389,2.187535,4.074303,6.997227
57,1946304,0.089371,0.723730,2.228875,2.998597,5.951202
58,1949504,0.027905,0.741788,2.209442,3.089335,6.040565
59,1952144,0.028971,0.751897,2.153008,3.495942,6.400847
60,1956048,0.027946,0.482678,2.085805,2.994311,5.562794
61,1955760,0.028047,0.752408,2.170346,3.428090,6.350844
62,1957472,0.094403,0.743729,2.260862,2.800100,5.804691
63,1955760,0.068477,0.491130,2.349448,2.763295,5.603873
64,1955520,0.067976,0.526093,2.289783,3.045966,5.861842
65,1954928,0.133777,0.769162,2.266538,4.745551,7.781251
66,1954048,0.021164,0.722239,2.188855,3.258356,6.169450
67,1953664,0.118275,0.744941,2.329523,3.211851,6.286315
68,1952576,0.026433,0.744340,2.098937,2.974109,5.817386
69,1951120,0.026601,0.822250,2.244205,3.571599,6.638054
70,1949344,0.032434,0.921591,2.036809,3.059560,6.017960
71,1948960,0.146339,0.918353,2.038404,3.291623,6.248380
72,1948432,0.095631,0.743113,2.108447,3.459291,6.310851
73,1950592,0.030920,0.747110,2.639360,3.192922,6.579392
74,1952816,0.022599,0.700338,2.335359,3.026574,6.062271
75,1953488,0.020769,0.702911,2.169269,2.928390,5.800570
76,1949696,0.018507,0.692039,2.238297,2.841623,5.771959
77,1945600,0.021155,0.722103,2.572407,3.063367,6.357877
78,1942848,0.021854,0.707600,2.175463,3.356423,6.239486
79,1942272,0.095398,0.707181,2.268142,3.121852,6.097175
80,1947408,0.027131,0.739171,2.118537,3.144865,6.002573
81,1955120,0.019309,0.747343,2.627093,4.748246,8.122682
82,1955792,0.129723,0.927722,2.046523,3.186988,6.161233
83,1950272,0.081233,0.541741,2.123788,3.466567,6.132096
84,1949536,0.122659,0.739603,2.503282,3.326522,6.569407
85,1960896,0.019135,0.507124,2.479761,2.581249,5.568134
86,1971648,0.086667,0.749944,2.205386,3.302756,6.258086
87,1977888,0.024892,0.742689,2.142836,3.230481,6.116006
88,1977216,0.023898,0.557170,2.142979,3.275375,5.975524
89,1969840,0.023459,0.751797,2.205733,3.261250,6.218780
90,1959328,0.117468,0.547831,1.723645,4.648216,6.919692
91,1961600,0.019928,0.546345,2.178833,3.136349,5.861527
92,1967408,0.026287,0.722822,2.343420,3.130442,6.196684
93,1974320,0.089547,0.736568,2.206863,3.281351,6.224782
94,1978448,0.108291,0.860978,3.616332,3.489188,7.966498
95,1985744,0.030104,0.907934,1.736716,5.519963,8.164613
96,1992048,0.093081,1.863942,2.339209,4.404785,8.607936
97,1995264,0.025180,1.826893,2.391791,4.309657,8.528341
98,1993232,0.021130,0.850753,2.149077,4.193183,7.193013
99,1994624,0.100425,1.607932,2.245510,4.502286,8.355728
