frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000401,1.726651,3.232001,4.137043,9.095695
1,1974928,0.124949,2.144278,2.155259,4.052453,8.351990
2,1970544,0.346510,2.253358,2.654514,3.503710,8.411582
3,1969104,0.144338,1.854389,2.232059,4.096832,8.183280
4,1965696,0.090690,1.608543,2.507420,3.889715,8.005678
5,1964672,0.036856,1.757305,2.551139,3.540366,7.848810
6,1967072,0.025372,1.800442,2.488876,3.851783,8.141101
7,1970800,0.293014,2.229090,2.682971,4.037118,8.949179
8,1973888,0.300449,2.287117,2.407546,4.149098,8.843761
9,1975120,0.134808,1.718055,3.121096,5.419455,10.258606
10,1977104,0.113909,1.331489,2.320163,4.509496,8.161148
11,1981056,0.142223,1.867380,2.665045,4.175483,8.707908
12,1981648,0.047956,0.661227,1.867101,4.221674,6.750002
13,1983808,0.037824,1.631297,2.211717,4.437592,8.280606
14,1984624,0.045253,0.828685,1.735128,4.903317,7.467130
15,1984912,0.036323,1.806555,2.171609,4.672382,8.650546
16,1984768,0.090072,1.594232,1.746538,4.525910,7.866680
17,1983472,0.034007,1.999639,2.377841,4.167477,8.544957
18,1985184,0.021410,1.789192,2.106813,5.024700,8.920705
19,1986000,0.025222,1.803645,1.832749,4.798490,8.434884
20,1985344,0.129965,2.205204,2.116941,4.132562,8.454707
21,1984512,0.055691,1.761690,2.299500,5.301961,9.363151
22,1983296,0.026478,1.594583,2.399046,4.267468,8.261097
23,1981536,0.096151,1.645958,1.853565,6.438079,9.937602
24,1981424,0.104169,1.464965,2.100051,4.015432,7.580448
25,1980576,0.009481,1.565243,2.308175,5.188993,9.062411
26,1978448,0.029954,1.697552,2.797385,4.739888,9.234825
27,1977776,0.307858,2.010349,2.326150,4.434753,8.771252
28,1976736,0.394157,2.327389,1.862110,4.579834,8.769333
29,1976352,0.094362,1.559549,2.077130,5.458823,9.095502
30,1974416,0.379151,1.968784,2.822011,4.401345,9.192140
31,1974544,0.094281,1.704001,2.396906,6.416548,10.517455
32,1974144,0.083587,1.842052,2.256092,4.351331,8.449475
33,1971136,0.140878,1.988117,2.332725,3.975691,8.296533
34,1970784,0.072109,1.575554,2.234486,5.045661,8.855701
35,1970128,0.091014,1.585313,2.452590,4.854223,8.892126
36,1967584,0.113987,1.545918,2.273288,5.282691,9.101897
37,1964496,0.025454,1.718005,2.334722,4.956349,9.009076
38,1963056,0.091219,1.616773,2.190720,4.315927,8.123420
39,1959472,0.032835,2.186372,2.420548,5.404772,10.011692
40,1952416,0.030825,1.912236,2.076212,5.134672,9.123120
41,1949728,0.020163,1.632881,1.790092,4.944480,8.367453
42,1945248,0.093464,1.719902,1.700101,4.777760,8.197763
43,1941040,0.108330,1.461943,2.295040,5.085320,8.842303
44,1928896,0.133503,1.995861,2.350963,4.948745,9.295569
45,1918608,0.019599,1.510567,2.129550,5.540993,9.181110
46,1917904,0.014205,0.540644,2.228295,4.959915,7.728854
47,1913488,0.027378,0.740766,2.173956,4.342118,7.256840
48,1917008,0.038011,0.737763,2.673429,4.134021,7.545213
49,1924128,0.040348,0.779968,2.299076,4.457063,7.536107
50,1932400,0.157269,0.833534,2.219691,4.430798,7.484023
51,1934800,0.021574,0.648466,2.132238,3.557155,6.337859
52,1933488,0.020676,0.790065,2.148060,3.604007,6.542132
53,1937088,0.142152,0.761197,2.233824,3.531455,6.526476
54,1940176,0.026244,0.737207,2.235940,4.433015,7.406162
55,1939808,0.025301,0.724440,2.074872,3.708022,6.507334
56,1941552,0.022857,0.798889,2.798595,3.623305,7.220789
57,1946304,0.156990,0.683802,2.229070,4.063826,6.976698
58,1949504,0.111986,0.812882,2.494654,3.705613,7.013149
59,1952144,0.019107,0.731689,2.319278,4.030488,7.081455
60,1956048,0.094211,0.931518,2.252322,3.707212,6.891052
61,1955760,0.098552,0.936857,1.714472,4.708113,7.359442
62,1957472,0.112230,0.851614,2.400221,5.211636,8.463471
63,1955760,0.019319,1.011592,2.169156,4.963792,8.144540
64,1955520,0.022893,0.777918,2.600850,4.930569,8.309337
65,1954928,0.014555,0.467260,2.147939,4.316383,6.931582
66,1954048,0.014981,0.481134,2.341673,4.151880,6.974687
67,1953664,0.022152,1.051076,2.217895,4.122038,7.391009
68,1952576,0.022792,0.687366,2.172466,4.632743,7.492575
69,1951120,0.018824,0.714253,2.421501,4.229365,7.365119
70,1949344,0.019625,0.768080,2.625488,3.852777,7.246345
71,1948960,0.025478,0.700113,2.264669,3.936687,6.901469
72,1948432,0.090179,0.742131,2.184666,3.540298,6.467095
73,1950592,0.100121,0.757591,2.273599,3.904165,6.935355
74,1952816,0.169392,0.859577,2.269631,4.877607,8.006815
75,1953488,0.025290,0.761629,2.307418,4.171025,7.240072
76,1949696,0.013790,0.484734,2.129193,3.827402,6.441329
77,1945600,0.085875,0.977476,2.174913,4.709651,7.862040
78,1942848,0.111313,0.544120,2.264432,3.584496,6.393048
