frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000354,2.513197,4.968201,4.039948,11.521346
1,1974928,0.030040,1.799512,2.199230,5.357365,9.356107
2,1970544,0.111212,1.800655,2.494216,4.038105,8.332976
3,1969104,0.027383,1.876608,2.067961,3.724545,7.669114
4,1965696,0.091339,1.694909,1.789105,4.192431,7.676445
5,1964672,0.315344,2.251303,1.911879,4.370670,8.533852
6,1967072,0.308939,1.853302,2.508066,4.434811,8.796179
7,1970800,0.125414,1.714165,2.423069,4.879179,9.016413
8,1973888,0.072992,1.947820,2.726288,5.763772,10.437880
9,1975120,0.165844,2.067950,2.294413,4.733864,9.096227
10,1977104,0.027798,2.103329,2.174716,6.940076,11.218121
11,1981056,0.129846,1.990988,2.960718,4.694281,9.645987
12,1981648,0.152811,0.714104,2.326102,5.801000,8.841206
13,1983808,0.211008,2.431321,1.744071,5.171421,9.346813
14,1984624,0.149627,0.497822,2.267550,4.433276,7.198648
15,1984912,0.124145,2.209178,1.991251,4.843872,9.044301
16,1984768,0.018578,1.295750,2.598603,5.640295,9.534648
17,1983472,0.023584,2.111719,2.452990,4.820958,9.385667
18,1985184,0.294208,2.265450,2.283069,4.404743,8.953262
19,1986000,0.089406,1.358545,2.661387,4.521371,8.541303
20,1985344,0.022315,1.449406,2.281831,4.374009,8.105246
21,1984512,0.372734,1.886205,2.563347,4.324510,8.774062
22,1983296,0.046087,2.137591,2.791238,4.491386,9.420215
23,1981536,0.291289,1.805944,2.690730,4.330842,8.827516
24,1981424,0.113942,1.814073,1.830499,6.494177,10.138749
25,1980576,0.113169,2.083414,1.993821,3.744374,7.821609
26,1978448,0.048789,2.105544,2.700378,4.317817,9.123739
27,1977776,0.271812,1.659297,2.484018,16.609411,20.752726
28,1976736,0.258652,1.976369,2.509295,4.940322,9.425986
29,1976352,0.278343,1.730130,2.549842,4.938275,9.218247
30,1974416,0.041778,1.990624,1.879456,5.188124,9.058204
31,1974544,0.063760,2.130543,2.467533,5.128323,9.726399
32,1974144,0.309020,1.892395,2.247037,5.322677,9.462109
33,1971136,0.303847,1.788206,2.442166,4.278553,8.508925
34,1970784,0.056146,1.908649,2.522485,4.577257,9.008391
35,1970128,0.026994,1.663679,2.554789,5.015464,9.233932
36,1967584,0.247916,1.852582,2.645964,4.983871,9.482417
37,1964496,0.094680,2.067402,2.742660,5.650299,10.460361
38,1963056,0.110264,1.830316,2.460667,4.904912,9.195895
39,1959472,0.218557,1.995406,2.600101,4.979827,9.575334
40,1952416,0.117369,1.836763,2.175689,4.537815,8.550267
41,1949728,0.150061,1.918702,2.509434,5.753657,10.181793
42,1945248,0.028866,1.357014,2.317371,4.604560,8.278945
43,1941040,0.101720,1.367773,2.157043,5.236767,8.761583
44,1928896,0.019981,1.830398,2.635438,5.108427,9.574263
45,1918608,0.016932,1.345862,2.140128,4.857237,8.343227
46,1917904,0.113007,0.711304,2.261390,4.156307,7.129001
47,1913488,0.110526,0.865122,1.963738,5.699291,8.528151
48,1917008,0.025361,0.822382,1.683231,4.241469,6.747082
49,1924128,0.028380,0.795216,1.965773,6.086087,8.847076
50,1932400,0.044843,1.047680,2.711092,4.173380,7.932152
51,1934800,0.082099,0.846595,2.475890,4.134403,7.456888
52,1933488,0.040434,0.577688,1.955995,3.073524,5.607207
53,1937088,0.095207,0.610875,1.919892,3.441705,5.972472
54,1940176,0.109630,0.957554,2.529910,4.061535,7.548999
55,1939808,0.018033,0.752160,2.654616,3.753888,7.160664
56,1941552,0.080445,0.498661,2.181823,2.988494,5.668978
57,1946304,0.018821,0.733132,2.522198,4.541717,7.797047
58,1949504,0.021268,0.808552,2.541189,3.291753,6.641494
59,1952144,0.029466,0.734782,2.403182,3.083756,6.221720
60,1956048,0.017246,0.697736,2.296588,4.283958,7.278282
61,1955760,0.088671,0.715867,1.784116,3.602165,6.102148
62,1957472,0.200816,0.732600,2.124649,2.986934,5.844183
63,1955760,0.079530,0.710328,1.808861,5.717408,8.236597
64,1955520,0.102227,0.743407,2.073895,4.640912,7.458214
65,1954928,0.125541,0.740448,2.157999,3.841255,6.739702
66,1954048,0.161229,0.767659,2.727924,3.981330,7.476913
67,1953664,0.036998,0.922541,2.054864,4.355745,7.333150
68,1952576,0.076700,0.829755,1.703733,4.673309,7.206797
69,1951120,0.025550,0.758835,2.856434,3.456742,7.072011
70,1949344,0.075966,0.845525,1.976814,3.553830,6.376169
71,1948960,0.023962,0.732742,2.334082,4.276736,7.343560
72,1948432,0.079235,0.739906,2.126808,3.358216,6.224930
73,1950592,0.019888,0.722607,2.316287,4.374965,7.413859
74,1952816,0.126854,0.758270,2.410021,3.361279,6.529570
75,1953488,0.150771,0.756446,2.409481,3.968607,7.134534
76,1949696,0.091833,0.746100,2.334681,3.599808,6.680589
77,1945600,0.105923,0.754249,2.439400,3.779431,6.973080
78,1942848,0.131760,0.721120,2.206369,2.885996,5.813485
79,1942272,0.109048,0.774180,2.452637,3.805095,7.031912
80,1947408,0.027226,0.802857,3.142686,4.501612,8.447155
81,1955120,0.018646,0.523103,2.582543,3.624798,6.730444
82,1955792,0.087005,0.618148,2.511294,3.891357,7.020799
83,1950272,0.071756,0.476146,2.127752,3.909919,6.513817
84,1949536,0.030672,0.604357,2.077558,4.033526,6.715441
85,1960896,0.023264,0.677691,1.763959,3.733429,6.175079
86,1971648,0.039361,0.840458,1.763288,3.979713,6.583459
87,1977888,0.039115,0.972477,2.081758,3.744228,6.798463
88,1977216,0.098690,0.670649,2.747281,3.398422,6.816352
89,1969840,0.022901,0.732549,2.378146,3.579339,6.690034
90,1959328,0.016779,0.739035,2.169163,3.588242,6.496440
91,1961600,0.070655,0.507790,2.049067,3.288376,5.845233
92,1967408,0.068416,0.800534,1.727192,4.386309,6.914035
93,1974320,0.023208,0.930303,1.836738,3.998034,6.765075
94,1978448,0.022094,0.849415,1.732274,4.113893,6.695582
95,1985744,0.074776,0.917047,2.883233,3.548796,7.349076
96,1992048,0.128615,1.772565,2.209256,4.511534,8.493355
97,1995264,0.101368,1.595814,2.509490,4.385716,8.491020
98,1993232,0.277147,0.803578,2.512298,4.516445,7.832321
99,1994624,0.104431,1.816496,2.326506,4.665804,8.808806
