frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000403,1.777617,3.578821,4.590917,9.947355
1,1974928,0.030285,1.783122,2.275344,5.125391,9.183857
2,1970544,0.093163,1.726372,1.955883,3.775038,7.457293
3,1969104,0.029152,1.566029,1.793545,4.737628,8.097202
4,1965696,0.132977,1.677523,1.886179,4.092509,7.656211
5,1964672,0.106948,1.818461,2.523281,5.064155,9.405897
6,1967072,0.113069,2.244449,2.614050,4.519934,9.378433
7,1970800,0.344443,2.218990,2.779049,4.381853,9.379892
8,1973888,0.067515,2.274530,2.654335,4.663246,9.592111
9,1975120,0.156310,1.779677,2.091177,5.329414,9.200268
10,1977104,0.092332,1.755456,2.226195,5.837204,9.818855
11,1981056,0.031615,1.995575,2.517332,4.577778,9.090685
12,1981648,0.024147,0.745103,2.291686,4.151543,7.188332
13,1983808,0.170867,1.860525,2.551390,5.691951,10.103866
14,1984624,0.037016,0.837429,3.198125,4.310987,8.346541
15,1984912,0.301384,2.289678,2.539174,5.706530,10.535382
16,1984768,0.082901,1.580302,2.075342,5.993207,9.648851
17,1983472,0.302693,1.613436,2.386895,4.501375,8.501706
18,1985184,0.080086,1.802860,2.644507,4.843642,9.291009
19,1986000,0.354726,1.636526,2.188918,6.211453,10.036897
20,1985344,0.082393,1.707248,2.920303,4.965981,9.593532
21,1984512,0.101220,1.719107,2.245712,4.345632,8.310451
22,1983296,0.430249,1.680935,2.390129,6.037724,10.108788
23,1981536,0.080186,2.315504,2.800434,4.749631,9.865569
24,1981424,0.330097,2.589105,3.188610,4.082604,9.860319
25,1980576,0.362434,2.055237,2.715163,5.863044,10.633444
26,1978448,0.336937,2.041541,2.451689,5.234159,9.727389
27,1977776,0.085510,1.631612,2.670750,5.573966,9.876328
28,1976736,0.158687,1.886576,2.478123,4.734824,9.099523
29,1976352,0.229656,1.752409,2.393447,5.344911,9.490767
30,1974416,0.165238,1.770598,2.701427,6.005602,10.477627
31,1974544,0.020140,1.596843,2.435211,5.213020,9.245074
32,1974144,0.103740,1.652395,2.455548,5.243541,9.351484
33,1971136,0.347411,1.985117,2.649048,4.653436,9.287601
34,1970784,0.143245,1.463653,2.226968,4.776955,8.467576
35,1970128,0.121509,2.359564,2.081347,4.329376,8.770287
36,1967584,0.296669,1.956485,2.719723,7.177028,11.853236
37,1964496,0.096589,1.984862,2.273573,4.480163,8.738598
38,1963056,0.019105,1.649949,2.504186,4.783035,8.937170
39,1959472,0.038002,1.363597,2.042226,6.035019,9.440842
40,1952416,0.087073,1.287821,2.027700,3.820299,7.135820
41,1949728,0.057740,1.577963,2.185223,4.813054,8.576240
42,1945248,0.021135,1.259059,2.072371,4.822031,8.153461
43,1941040,0.028433,1.545525,2.226592,5.468104,9.240221
44,1928896,0.018307,1.477235,2.713084,3.955436,8.145755
45,1918608,0.120733,1.830013,2.271940,11.524508,15.626461
46,1917904,0.086507,1.920251,2.245973,3.875890,8.042114
47,1913488,0.113573,1.837631,1.772028,5.121512,8.731171
48,1917008,0.015319,0.512595,2.084240,4.678827,7.275662
49,1924128,0.140396,0.801989,1.694269,4.594568,7.090826
50,1932400,0.127393,0.718400,2.059327,6.091678,8.869405
51,1934800,0.065304,0.835191,2.381861,3.532183,6.749235
52,1933488,0.136269,0.829042,2.652637,3.418147,6.899826
53,1937088,0.020038,0.702584,2.152627,4.052450,6.907661
54,1940176,0.134596,0.813218,1.708608,3.898425,6.420251
