frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1994688,0.000649,1.888440,4.243020,2.243331,8.374791
1,1993680,0.024209,1.197808,1.799226,1.884602,4.881636
2,1991648,0.035850,0.753752,2.079952,2.626506,5.460210
3,1986672,0.028763,0.899944,1.745513,3.039226,5.684683
4,1983504,0.053426,1.023685,2.257292,2.698611,5.979588
5,1982784,0.144602,1.047664,2.598402,3.946075,7.592141
6,1973968,0.152602,0.922782,2.128064,2.626344,5.677190
7,1964240,0.168264,1.009769,3.211922,2.494668,6.716359
8,1953968,0.135636,0.821525,2.944712,2.687477,6.453714
9,1941712,0.138796,0.766391,2.525965,2.671666,5.964022
10,1936288,0.031423,0.712438,2.490745,2.578169,5.781352
11,1935120,0.022019,0.824334,2.718459,2.411041,5.953834
12,1928048,0.023728,0.731754,2.343806,2.458875,5.534435
13,1924720,0.145525,0.714583,2.229049,2.673772,5.617404
14,1926496,0.025164,0.720969,2.163405,2.354122,5.238496
15,1936368,0.037472,0.789965,2.762788,2.644192,6.196945
16,1949472,0.025765,0.935536,2.656226,2.321613,5.913375
17,1969712,0.034626,0.777975,2.526107,2.620924,5.925006
18,1983040,0.146421,0.779013,2.814192,2.240064,5.833269
19,1988816,0.095946,0.865843,2.530416,2.579595,5.975854
20,1992848,0.028194,0.813488,2.660412,2.438319,5.912219
21,1994496,0.112864,0.892731,2.831325,3.589580,7.313636
22,1994304,0.142772,0.978149,2.096947,2.144727,5.219823
23,1992416,0.028001,0.820389,2.710296,2.637289,6.167974
24,1992320,0.103766,0.982302,2.974664,2.334183,6.291149
25,1993600,0.142814,0.748606,2.149987,2.427326,5.325919
26,1992800,0.101996,0.921964,2.683498,2.429349,6.034811
27,1987872,0.084278,0.897716,3.050433,2.421995,6.370144
28,1986608,0.035487,0.766179,2.615142,2.560759,5.942080
29,1984288,0.035865,0.750496,2.248417,2.969071,5.967984
30,1986144,0.121415,0.759068,2.624692,2.462120,5.845880
31,1986240,0.151335,0.996777,2.860286,2.403416,6.260479
32,1982912,0.024115,1.046709,3.069356,2.313914,6.429979
33,1981216,0.097037,0.768770,2.381971,2.095437,5.246178
34,1976032,0.153226,0.879221,2.702928,2.747889,6.330038
35,1968096,0.033760,0.892332,3.056098,4.132504,8.080934
36,1963984,0.024680,0.801540,2.340096,2.613539,5.755175
37,1958064,0.019129,0.782314,2.268522,2.402045,5.452881
38,1947808,0.087068,0.736755,2.036106,2.765554,5.538415
39,1943952,0.041703,0.842878,2.881912,2.523265,6.248055
40,1938368,0.044389,0.886813,3.114193,2.721893,6.722899
41,1925744,0.037312,0.764657,2.024536,2.305603,5.094796
42,1911264,0.119677,0.734912,1.996143,2.849383,5.580438
43,1894384,0.036606,0.726046,1.983742,2.510706,5.220494
44,1870096,0.043429,0.723948,1.953300,2.679999,5.357247
45,1831936,0.040295,0.805591,2.474283,4.099087,7.378961
46,1810224,0.036531,0.690312,1.921152,2.528849,5.140313
47,1820960,0.034922,0.703175,2.118035,2.942371,5.763581
48,1855584,0.036079,0.779966,2.713227,2.738231,6.231424
49,1874496,0.037456,0.758141,2.628757,2.722413,6.109311
50,1898176,0.040479,0.802368,2.657426,2.652424,6.112218
51,1917280,0.036810,0.744883,2.449228,2.565754,5.759865
52,1932736,0.091651,0.848735,2.948696,2.647896,6.445327
53,1950256,0.017872,0.744458,2.043176,2.586771,5.374405
54,1962224,0.027295,0.794453,2.187125,2.382827,5.364405
55,1973488,0.028038,0.817336,2.576434,3.869462,7.263232
56,1971712,0.032465,0.816625,2.149862,2.539045,5.505532
57,1970080,0.035890,0.761498,2.125717,2.601041,5.488256
58,1966864,0.034148,0.764769,2.372757,2.703586,5.841112
59,1963248,0.036440,0.776281,2.424426,3.552670,6.753377
60,1961104,0.043920,0.906091,3.086087,2.367325,6.359503
61,1954576,0.044043,0.772725,2.483440,2.560824,5.816989
62,1947712,0.041392,0.811858,2.593126,2.716567,6.121551
63,1931136,0.097500,0.799027,2.968722,2.247913,6.015662
64,1935008,0.024572,0.930836,1.704018,2.459653,5.094507
65,1936816,0.075190,0.957699,2.997515,3.321485,7.276699
66,1939184,0.163164,0.858275,2.209868,2.420255,5.488398
67,1937856,0.028401,0.769314,2.843016,2.422534,6.034864
68,1937296,0.026677,0.833646,3.098766,2.380796,6.313208
69,1937552,0.278473,0.751134,2.201213,2.522417,5.474764
70,1932688,0.030158,0.866732,3.088943,2.378555,6.334230
71,1927872,0.225721,0.918212,3.043261,2.557402,6.518875
72,1924512,0.036252,0.798006,2.819668,2.546319,6.163993
73,1920576,0.030572,0.738296,2.544859,4.174240,7.457395
74,1915952,0.108512,0.736349,2.701603,2.564731,6.002683
75,1904848,0.090957,0.977539,2.795244,2.514229,6.287012
76,1899872,0.030288,0.830879,2.388008,2.394526,5.613413
77,1890784,0.102363,0.745427,2.941786,2.311976,5.999189
78,1879648,0.119789,0.759360,2.546744,2.397629,5.703733
79,1879120,0.081503,0.866285,3.209502,2.519049,6.594836
80,1878592,0.034418,0.703469,2.304254,2.709280,5.717003
81,1883840,0.060068,0.904083,2.719309,2.354059,5.977451
82,1887632,0.141042,0.791684,2.861412,2.555920,6.209016
83,1897168,0.110455,0.833551,2.837938,2.368700,6.040189
84,1909616,0.146316,0.723221,2.837517,2.500606,6.061344
85,1906000,0.064711,0.885745,3.121948,2.348545,6.356238
86,1909632,0.089668,0.757549,2.168296,3.525942,6.451787
87,1917040,0.026306,0.831922,3.019458,2.047097,5.898477
88,1921072,0.032218,0.839480,2.969843,2.498513,6.307836
89,1928784,0.147996,0.870629,3.136585,2.394816,6.402030
90,1935440,0.043495,0.750112,2.217442,2.398230,5.365784
91,1941328,0.107416,0.925352,3.029514,3.510664,7.465530
92,1944000,0.176594,0.757782,2.107262,2.389705,5.254749
93,1945520,0.062145,0.863519,2.946647,2.392621,6.202787
94,1945888,0.050848,0.751822,2.911770,2.534402,6.197994
95,1946736,0.032781,0.759486,2.318795,2.606672,5.684953
96,1948160,0.146762,0.902556,1.709861,3.190289,5.802706
97,1951216,0.042586,0.853044,2.318119,2.232079,5.403242
98,1955744,0.038550,0.744984,2.308785,2.591925,5.645694
99,1959872,0.044639,0.854363,2.265547,2.396076,5.515986
