frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000490,1.817892,3.943339,2.713568,8.474799
1,1974928,0.142947,3.183548,2.417248,3.740062,9.340858
2,1970544,0.284262,4.167639,2.883910,2.817559,9.869108
3,1969104,0.045051,2.265544,2.679652,2.645089,7.590285
4,1965696,0.282832,2.950761,3.015641,2.789485,8.755887
5,1964672,0.286587,3.058887,3.098693,2.810592,8.968172
6,1967072,0.108085,2.965714,3.158292,2.735634,8.859640
7,1970800,0.284850,2.882457,3.084468,2.681771,8.648696
8,1973888,0.022610,0.746480,4.646781,3.051999,8.445260
9,1975120,0.068586,0.773442,2.300803,4.069566,7.143811
10,1977104,0.348583,2.991725,2.960326,4.025928,9.977979
11,1981056,0.088555,2.704732,2.892836,5.341965,10.939533
12,1981648,0.091283,3.085663,2.593073,16.356949,22.035685
13,1983808,0.314572,0.889230,2.525393,13.279667,16.694290
14,1984624,0.350792,0.781437,3.296850,9.791283,13.869570
15,1984912,0.101165,0.772435,2.690767,18.070990,21.534192
16,1984768,0.094052,0.777860,2.354782,16.916859,20.049501
17,1983472,0.149450,0.912931,2.381899,10.005942,13.300772
18,1985184,0.296104,0.833122,2.497399,6.910326,10.240847
19,1986000,0.024497,0.771851,2.178434,4.585450,7.535735
20,1985344,0.277441,0.838732,2.542963,20.088434,23.470129
21,1984512,0.273774,0.921749,2.565424,2.410139,5.897312
22,1983296,0.028690,0.739520,2.266437,18.929384,21.935341
23,1981536,0.034092,0.766229,5.393056,13.476809,19.636094
24,1981424,0.366753,0.800502,2.416423,17.845111,21.062036
25,1980576,0.131321,0.825410,2.741657,5.209700,8.776767
26,1978448,0.488672,0.801941,2.768261,13.145989,16.716191
27,1977776,0.253531,0.841696,2.172115,9.366303,12.380114
28,1976736,0.273465,0.847736,2.824083,14.212449,17.884268
29,1976352,0.270097,0.843449,3.042571,9.252213,13.138233
30,1974416,0.348416,0.822614,3.312558,6.470672,10.605844
31,1974544,0.299494,2.898041,3.079516,5.221546,11.199103
32,1974144,0.257012,2.991233,3.323714,14.155367,20.470314
33,1971136,0.272840,0.802670,2.886970,4.650962,8.340602
34,1970784,0.089880,0.757340,3.952242,5.716298,10.425880
35,1970128,0.356332,3.045208,3.397249,19.196531,25.638988
36,1967584,0.465785,2.436075,3.416312,18.042730,23.895117
37,1964496,0.023023,0.730865,4.393042,11.021523,16.145430
38,1963056,0.033619,0.759134,4.555915,11.911912,17.226961
39,1959472,0.055679,0.729355,3.237328,7.932819,11.899502
40,1952416,0.097274,0.754512,2.052780,8.177868,10.985160
41,1949728,0.094029,0.683639,2.262076,11.383342,14.329057
42,1945248,0.021862,0.718533,4.385971,7.261687,12.366191
43,1941040,0.030677,0.655869,4.386029,6.486976,11.528874
44,1928896,0.107260,0.687579,4.205838,3.595999,8.489416
45,1918608,0.021646,0.679187,2.475922,7.188612,10.343721
46,1917904,0.028730,0.657633,2.428891,7.224358,10.310882
47,1913488,0.114116,0.821821,2.467095,5.742009,9.030925
48,1917008,0.036666,0.945260,2.328917,6.673032,9.947209
49,1924128,0.300724,0.789750,2.403871,15.284101,18.477722
50,1932400,0.277452,0.836193,2.911049,11.161883,14.909125
51,1934800,0.089266,0.769049,5.205924,10.649530,16.624503
52,1933488,0.405849,0.806621,2.808161,7.201197,10.815979
53,1937088,0.022394,0.739058,2.797334,9.944605,13.480997
54,1940176,0.126141,0.725691,2.044244,16.241480,19.011415
55,1939808,0.132685,0.755404,2.151464,9.049736,11.956604
56,1941552,0.291540,0.979178,2.124038,12.498550,15.601766
57,1946304,0.131790,0.952487,2.472018,4.174577,7.599082
58,1949504,0.374699,0.775914,2.806457,4.032698,7.615069
59,1952144,0.105844,0.765313,2.830264,8.712716,12.308293
60,1956048,0.039891,0.741635,2.378798,4.379901,7.500334
61,1955760,0.034944,0.732688,2.352435,17.617990,20.703113
62,1957472,0.084323,0.767053,4.316907,11.225806,16.309766
63,1955760,0.327022,1.918738,2.355864,11.191933,15.466535
64,1955520,0.090348,0.765079,2.322359,15.761146,18.848584
65,1954928,0.041568,0.779785,2.169023,8.259978,11.208786
66,1954048,0.097159,0.756953,2.184058,10.568690,13.509701
67,1953664,0.078630,0.572838,2.333215,2.276580,5.182633
68,1952576,0.097877,0.654830,2.215654,3.833628,6.704112
69,1951120,0.128781,1.091359,2.371770,3.329864,6.792993
70,1949344,0.025987,0.685677,2.351664,6.257877,9.295218
