frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000383,1.908702,3.862203,2.147464,7.918369
1,1974928,0.036981,1.856073,2.200069,2.187086,6.243228
2,1970544,0.141450,1.763813,2.121237,2.523570,6.408620
3,1969104,0.027600,0.852388,2.060787,2.463257,5.376432
4,1965696,0.105494,0.720095,2.048312,2.704496,5.472903
5,1964672,0.103554,0.849847,1.723753,2.583538,5.157138
6,1967072,0.116437,0.811507,2.051728,2.370913,5.234148
7,1970800,0.092714,0.708132,2.286262,2.486657,5.481051
8,1973888,0.041074,0.846649,2.068572,2.380069,5.295290
9,1975120,0.090693,0.729172,2.065814,2.617088,5.412074
10,1977104,0.116945,0.980918,2.414343,3.535012,6.930273
11,1981056,0.098789,0.502995,3.846459,1.940690,6.290144
12,1981648,0.087305,0.488283,2.251116,2.337599,5.076998
13,1983808,0.026461,0.744544,2.468241,2.708357,5.921142
14,1984624,0.087665,0.745548,2.243154,2.688757,5.677459
15,1984912,0.132784,0.678784,1.730868,4.965729,7.375381
16,1984768,0.106452,0.974889,2.149889,2.453128,5.577906
17,1983472,0.039780,0.847289,2.111291,2.499329,5.457909
18,1985184,0.089923,0.713050,2.341651,2.649144,5.703845
19,1986000,0.091300,0.707185,2.108685,2.598140,5.414010
20,1985344,0.092035,0.683482,2.495925,2.507800,5.687207
21,1984512,0.042643,0.961142,2.076560,2.504200,5.541902
22,1983296,0.033443,0.829820,2.073336,2.292415,5.195571
23,1981536,0.120563,0.867924,2.076135,2.647275,5.591334
24,1981424,0.024135,0.665844,2.077492,2.471065,5.214401
25,1980576,0.025906,0.715036,2.199099,4.091477,7.005612
26,1978448,0.029846,0.685129,2.102453,2.619812,5.407394
27,1977776,0.028819,0.656429,2.172922,2.600012,5.429363
28,1976736,0.033512,0.663074,2.197145,2.674513,5.534732
29,1976352,0.031945,0.718604,2.185423,2.548619,5.452646
30,1974416,0.029977,0.735205,1.985967,2.481121,5.202293
31,1974544,0.091937,0.738792,2.210041,2.583939,5.532772
32,1974144,0.101957,0.703217,2.142019,2.437406,5.282642
33,1971136,0.023732,0.663403,2.085766,2.593236,5.342405
34,1970784,0.092757,0.644527,2.201631,2.410829,5.256987
35,1970128,0.028983,0.736210,2.170412,3.809723,6.716345
36,1967584,0.024801,0.650373,2.057554,2.480812,5.188739
37,1964496,0.024574,3.137663,2.278593,2.997773,8.414029
38,1963056,0.087232,0.914490,1.994746,2.646406,5.555642
39,1959472,0.027270,2.414981,3.027986,3.482984,8.925951
40,1952416,0.027486,2.412830,2.035454,2.625591,7.073875
41,1949728,0.116797,0.987221,2.070579,2.432189,5.489989
42,1945248,0.134641,0.707961,2.036628,2.626863,5.371452
43,1941040,0.117037,0.707601,2.271417,2.431469,5.410487
44,1928896,0.044493,0.771662,2.194607,3.243210,6.209479
45,1918608,0.106337,0.691378,2.030162,3.841988,6.563528
46,1917904,0.115666,0.638238,2.055658,2.284561,4.978457
47,1913488,0.043813,0.792991,1.681093,2.537782,5.011866
48,1917008,0.095485,0.691160,2.118020,2.535795,5.344975
49,1924128,0.101736,0.699931,2.184335,2.487333,5.371599
50,1932400,0.043861,0.869147,2.365259,2.633319,5.867725
51,1934800,0.093526,0.678816,2.111277,2.305197,5.095290
52,1933488,0.105748,0.937280,2.103073,2.237196,5.277549
53,1937088,0.024231,0.691641,2.093332,2.670870,5.455843
54,1940176,0.022465,0.647269,2.199313,2.696892,5.543474
55,1939808,0.025712,0.692781,4.590637,2.999472,8.282890
56,1941552,0.023094,0.631916,3.780516,3.537115,7.949547
57,1946304,0.026657,0.676112,3.622523,2.408517,6.707152
58,1949504,0.023893,0.690738,4.364806,2.034337,7.089881
59,1952144,0.026569,0.716721,3.985834,2.311088,7.013643
60,1956048,0.024822,0.665909,3.831738,2.312139,6.809786
61,1955760,0.020239,0.655129,2.224659,2.314548,5.194336
62,1957472,0.108840,0.704998,2.221204,2.923833,5.850035
63,1955760,0.124321,3.078003,2.329392,3.123469,8.530864
64,1955520,0.135806,0.659820,3.874576,2.664901,7.199297
65,1954928,0.127650,0.718879,4.389459,2.605378,7.713716
66,1954048,0.091232,0.831851,1.847830,2.370163,5.049844
67,1953664,0.034674,0.813853,2.164178,2.477381,5.455412
68,1952576,0.106588,0.694683,2.053069,2.712455,5.460207
69,1951120,0.131413,0.787135,1.708106,2.721172,5.216413
70,1949344,0.025078,0.793534,3.684153,2.380090,6.857777
71,1948960,0.021399,0.666529,2.063091,2.660817,5.390437
72,1948432,0.139611,2.882518,2.151116,2.831508,7.865142
73,1950592,0.123740,0.823296,1.710708,2.561451,5.095455
74,1952816,0.023196,0.684591,2.181361,3.556034,6.421986
75,1953488,0.114066,0.808752,2.119471,2.254469,5.182692
76,1949696,0.089354,0.692862,2.162131,2.675203,5.530196
77,1945600,0.082581,0.645786,2.124304,2.596018,5.366108
78,1942848,0.028113,0.724596,2.100999,2.600505,5.426100
79,1942272,0.092672,0.744103,2.199797,2.615495,5.559395
80,1947408,0.117657,0.834024,1.706098,3.474218,6.014340
81,1955120,0.087813,0.718202,2.155298,2.726608,5.600108
82,1955792,0.026851,0.723785,2.075908,2.614685,5.414378
83,1950272,0.027335,0.729843,2.123133,2.484508,5.337484
84,1949536,0.088674,0.671325,2.033319,2.276567,4.981211
85,1960896,0.030105,0.724988,2.248832,2.640270,5.614090
86,1971648,0.026463,0.651683,2.334540,2.778346,5.764569
87,1977888,0.028383,0.726080,2.066677,2.628593,5.421350
88,1977216,0.045082,0.720082,2.096567,2.707845,5.524494
89,1969840,0.029393,0.748775,2.138884,2.618289,5.505948
90,1959328,0.052767,0.750913,2.058278,2.512335,5.321526
91,1961600,0.027137,0.739631,2.054614,2.582041,5.376286
92,1967408,0.030933,0.713020,2.098622,3.407634,6.219276
93,1974320,0.127043,0.858439,1.771937,2.856050,5.486426
94,1978448,0.110387,0.820873,2.273638,2.447932,5.542443
95,1985744,0.111967,0.821054,2.419640,2.528122,5.768816
96,1992048,0.026898,0.743230,2.274998,2.452697,5.470925
97,1995264,0.031175,0.737599,2.416612,2.566437,5.720648
98,1993232,0.121010,0.728202,2.166682,2.507316,5.402200
99,1994624,0.082119,0.734636,2.116023,2.127118,4.977777
