frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1994688,0.000376,1.936568,4.106012,7.627648,13.670228
1,1993680,0.022347,1.776784,2.527108,6.979978,11.283870
2,1991648,0.020365,1.642647,2.292555,18.020389,21.955591
3,1986672,0.101322,1.899313,2.743260,5.594515,10.237088
4,1983504,0.118958,1.896468,2.590411,5.046594,9.533473
5,1982784,0.023986,1.730548,2.727677,15.670615,20.128840
6,1973968,0.021127,1.781925,1.797361,5.171273,8.750559
7,1964240,0.019316,1.816165,2.755954,5.325592,9.897711
8,1953968,0.068919,1.480826,2.049562,15.397119,18.927507
9,1941712,0.020742,1.574853,2.125311,6.384677,10.084841
10,1936288,0.015929,1.484072,2.403358,4.288366,8.175796
11,1935120,0.019360,1.705478,2.453800,12.880959,17.040237
12,1928048,0.023656,1.276534,2.322987,5.481316,9.080837
13,1924720,0.026051,0.757350,2.339091,4.167906,7.264347
14,1926496,0.023619,0.808313,2.706832,14.824588,18.339733
15,1936368,0.080994,0.710921,2.156370,5.216437,8.083728
16,1949472,0.029278,0.736653,2.326978,3.899901,6.963532
17,1969712,0.025511,0.761509,2.946109,14.064160,17.771778
18,1983040,0.114628,0.755030,2.326190,4.147215,7.228435
19,1988816,0.111276,0.871536,2.693886,3.717821,7.283243
20,1992848,0.022092,0.746206,2.807320,13.589856,17.143382
21,1994496,0.020603,0.765096,2.444979,4.597008,7.807083
22,1994304,0.036001,1.663638,2.522616,6.664691,10.850945
23,1992416,0.053024,1.863137,2.459171,16.660750,20.983058
24,1992320,0.144922,1.656773,2.438532,6.960069,11.055374
25,1993600,0.103281,2.100025,2.158621,5.249104,9.507750
26,1992800,0.122113,1.641111,2.156669,14.645963,18.443743
27,1987872,0.042348,2.170561,2.524159,5.663685,10.358405
28,1986608,0.116078,1.998517,2.529103,5.564269,10.091889
29,1984288,0.121248,1.640439,2.201008,15.448439,19.289886
30,1986144,0.112258,1.662887,2.333143,5.993514,9.989544
31,1986240,0.029976,1.815152,2.304201,5.199420,9.318773
32,1982912,0.029127,1.736023,2.756568,15.525379,20.017970
33,1981216,0.021761,1.499800,1.795429,5.784731,9.079960
34,1976032,0.022754,1.849246,2.727980,4.585792,9.163018
35,1968096,0.032094,1.616569,2.281064,15.295456,19.193089
36,1963984,0.019697,1.955253,2.686281,4.930393,9.571927
37,1958064,0.108247,1.628362,2.406593,5.603628,9.638583
38,1947808,0.132159,2.648095,2.821187,14.730214,20.199496
39,1943952,0.023543,1.629025,2.472827,5.778630,9.880482
40,1938368,0.024485,2.062856,2.540787,6.245176,10.848819
41,1925744,0.021727,1.736122,2.328650,15.621240,19.686012
42,1911264,0.097695,0.745267,2.404667,4.931169,8.081103
43,1894384,0.102075,0.996235,3.410369,4.104210,8.510814
44,1870096,0.090810,0.738966,2.173237,14.051404,16.963607
45,1831936,0.100318,0.726698,2.347656,4.767361,7.841715
46,1810224,0.090615,0.693700,1.895409,3.983454,6.572563
47,1820960,0.047143,0.698678,1.900477,13.355382,15.954537
48,1855584,0.030851,0.701012,2.076925,4.513421,7.291358
49,1874496,0.024672,0.470975,2.044634,3.383295,5.898904
50,1898176,0.034463,0.741676,2.324169,13.421781,16.487626
51,1917280,0.112506,0.752892,2.830429,5.155043,8.738364
52,1932736,0.120499,0.735802,2.118559,4.229318,7.083679
53,1950256,0.099059,0.773491,2.942257,12.842703,16.558451
54,1962224,0.089225,0.723094,1.782219,4.123497,6.628810
55,1973488,0.027081,0.759406,2.337663,4.074156,7.171225
56,1971712,0.021805,0.763800,2.906881,15.470878,19.141559
