frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000396,1.906624,4.560433,7.739039,14.206096
1,1974928,0.084870,1.864494,2.628014,6.092025,10.584533
2,1970544,0.026400,1.507079,2.254631,16.282610,20.044320
3,1969104,0.101206,1.577853,2.071755,5.821859,9.471467
4,1965696,0.107068,1.839604,1.720505,5.396147,8.956256
5,1964672,0.023808,1.401608,2.086198,15.456687,18.944493
6,1967072,0.125435,1.799373,2.012459,7.311606,11.123438
7,1970800,0.131751,1.782334,2.167292,8.415409,12.365035
8,1973888,0.025062,1.441852,2.218076,17.011846,20.671774
9,1975120,0.121307,1.812727,2.166902,5.512954,9.492583
10,1977104,0.090065,1.555313,2.509292,5.183263,9.247868
11,1981056,0.020886,1.471739,2.352590,16.806025,20.630354
12,1981648,0.023889,1.586843,2.532183,5.009058,9.128084
13,1983808,0.115954,1.965659,2.355263,5.611870,9.932792
14,1984624,0.023855,1.603564,2.273220,16.294249,20.171033
15,1984912,0.024680,1.588424,1.890288,7.172506,10.651218
16,1984768,0.029040,1.632054,2.242721,5.179369,9.054144
17,1983472,0.026845,1.601451,2.222568,15.881638,19.705657
18,1985184,0.026979,1.590471,2.040132,5.917249,9.547852
19,1986000,0.135947,1.845239,1.737962,5.620139,9.203340
20,1985344,0.091263,1.724880,2.283164,20.048463,24.056507
21,1984512,0.025869,1.573502,2.335885,5.885525,9.794912
22,1983296,0.093546,1.781752,2.534709,5.126124,9.442585
23,1981536,0.033784,1.581759,2.203710,16.988852,20.774321
24,1981424,0.024468,1.421610,2.188607,5.773855,9.384072
25,1980576,0.084186,1.549289,2.253879,5.433913,9.237081
26,1978448,0.102806,1.602419,2.207405,14.772810,18.582634
27,1977776,0.088208,1.581849,2.229304,5.909953,9.721106
28,1976736,0.111800,1.819270,2.323257,6.620155,10.762682
29,1976352,0.104206,1.369470,2.459894,14.724168,18.553532
30,1974416,0.036262,1.617266,2.125788,5.495982,9.239036
31,1974544,0.028768,1.571594,2.245054,5.205710,9.022358
32,1974144,0.026003,1.443339,2.092702,15.900329,19.436370
33,1971136,0.104592,1.846040,1.724307,7.089730,10.660077
34,1970784,0.128272,1.590104,2.223063,5.109157,8.922324
35,1970128,0.028139,1.635039,2.226808,15.567963,19.429810
36,1967584,0.028026,1.565327,2.056011,5.749555,9.370893
37,1964496,0.100214,1.749401,2.142192,5.842813,9.734406
38,1963056,0.082938,1.641450,2.307423,17.365436,21.314309
39,1959472,0.084490,1.673368,2.239224,5.768519,9.681111
40,1952416,0.082478,1.499855,2.264318,5.675122,9.439295
41,1949728,0.028073,1.535107,2.071981,15.014170,18.621258
42,1945248,0.191033,1.587068,2.266665,5.642795,9.496528
43,1941040,0.021032,1.821419,2.621071,6.320653,10.763143
44,1928896,0.090819,1.537671,2.016618,15.483870,19.038159
45,1918608,0.017586,1.953087,2.110816,5.837569,9.901472
46,1917904,0.016946,1.518393,2.132067,5.191699,8.842159
47,1913488,0.017291,1.360444,2.574730,14.293717,18.228891
48,1917008,0.020159,0.692532,2.542574,4.425144,7.660250
49,1924128,0.075944,0.790096,1.919266,3.806156,6.515518
50,1932400,0.032238,0.754786,2.266336,16.403307,19.424429
51,1934800,0.133149,0.791793,1.694272,5.716385,8.202450
52,1933488,0.026509,0.715786,2.242277,3.829782,6.787845
53,1937088,0.026483,0.742238,2.169907,13.817761,16.729906
54,1940176,0.025403,0.704776,2.232223,4.467256,7.404255
55,1939808,0.028181,0.718868,2.193286,3.861134,6.773288
56,1941552,0.028741,0.887649,2.160782,13.404842,16.453273
57,1946304,0.034735,0.789331,2.112743,5.593941,8.496015
58,1949504,0.047667,0.730169,2.229961,3.968988,6.929118
59,1952144,0.157403,0.908298,2.428794,16.445014,19.782106
60,1956048,0.191998,0.653195,2.318682,4.016971,6.988848
61,1955760,0.031040,0.748461,2.158382,4.213138,7.119981
62,1957472,0.090303,0.492959,2.225093,14.305088,17.023140
63,1955760,0.144148,0.866774,1.810777,5.184730,7.862281
64,1955520,0.153548,0.839488,2.220700,4.181010,7.241198
65,1954928,0.026371,0.586752,2.110215,14.566929,17.263896
66,1954048,0.149885,0.837482,2.417559,4.731187,7.986228
67,1953664,0.086965,0.741689,2.335962,4.111680,7.189331
68,1952576,0.142397,0.722768,2.325693,15.391247,18.439708
69,1951120,0.160966,0.859044,2.373506,4.983219,8.215769
70,1949344,0.130980,0.738237,2.350898,3.918334,7.007469
71,1948960,0.023120,0.880945,1.704221,15.204700,17.789866
72,1948432,0.103834,0.884384,2.089870,4.334648,7.308902
73,1950592,0.071119,0.988904,2.628496,4.010319,7.627719
74,1952816,0.101070,0.759460,2.522009,13.861430,17.142899
75,1953488,0.082663,0.746209,2.409521,4.948649,8.104379
76,1949696,0.209010,1.409543,1.940505,4.172822,7.522870
77,1945600,0.130229,0.835824,1.817326,16.831269,19.484419
78,1942848,0.133982,0.585292,2.200490,6.758421,9.544203
79,1942272,0.035935,0.811105,1.804751,3.741622,6.357478
80,1947408,0.046593,0.832996,2.113432,13.886913,16.833341
81,1955120,0.118281,0.905305,2.288040,4.594644,7.787989
82,1955792,0.042765,0.737686,2.373982,4.134762,7.246430
83,1950272,0.031042,0.741205,2.394270,17.272300,20.407775
84,1949536,0.195036,1.063998,2.105854,4.655866,7.825718
85,1960896,0.288153,0.784934,2.240593,4.294798,7.320325
86,1971648,0.355561,0.787031,2.202195,13.698663,16.687889
87,1977888,0.344918,0.782744,2.887125,4.990679,8.660548
88,1977216,0.082604,0.846912,2.294404,4.750537,7.891853
89,1969840,0.138695,0.896177,2.026021,16.573996,19.496194
90,1959328,0.026748,0.639846,2.570014,4.303961,7.513821
91,1961600,0.132860,0.487956,2.338275,3.463875,6.290106
92,1967408,0.025403,0.868252,2.129559,13.967210,16.965021
93,1974320,0.121764,0.736983,2.223864,6.348911,9.309758
94,1978448,0.020870,0.838825,2.467883,4.157601,7.464309
95,1985744,0.138093,0.771319,2.419053,16.582780,19.773152
96,1992048,0.236481,1.959302,2.151553,6.220392,10.331247
97,1995264,0.099639,2.137220,2.417424,9.296486,13.851130
98,1993232,0.030411,1.601727,2.219017,17.388316,21.209060
99,1994624,0.024423,1.457157,2.274405,6.375971,10.107533
