frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
0,1974224,0.000191,2.087371,3.450177,7.274721,12.812269
1,1974928,0.120031,1.643139,1.838447,7.104102,10.585688
2,1970544,0.227356,1.654308,2.296823,17.742743,21.693874
3,1969104,0.283884,1.884248,2.605678,5.434847,9.924773
4,1965696,0.047840,1.707665,2.226910,7.853048,11.787623
5,1964672,0.206996,1.902723,2.067150,15.612965,19.582838
6,1967072,0.077689,2.021567,1.798581,5.162967,8.983115
7,1970800,0.104012,1.633532,2.125580,5.608963,9.368075
8,1973888,0.128467,1.890232,2.427832,15.910880,20.228944
9,1975120,0.023092,1.661456,2.614815,5.395458,9.671729
10,1977104,0.085000,1.287616,2.221120,5.448983,8.957719
11,1981056,0.104040,1.834913,2.212531,16.632291,20.679735
12,1981648,0.055915,1.575904,2.364431,5.438050,9.378385
13,1983808,0.027378,1.680913,2.344583,5.121811,9.147307
14,1984624,0.024132,1.633531,2.292956,18.276392,22.202879
15,1984912,0.106689,1.589640,2.195336,5.436549,9.221525
16,1984768,0.021951,1.586683,2.154362,5.226700,8.967745
17,1983472,0.098530,1.634088,2.304471,17.704394,21.642953
18,1985184,0.085872,1.375890,2.114173,5.757463,9.247526
19,1986000,0.103432,1.583387,2.236331,7.302977,11.122695
20,1985344,0.095862,1.612030,2.164438,16.422796,20.199264
21,1984512,0.023284,1.586631,2.362577,5.648049,9.597257
22,1983296,0.039798,1.839229,2.171956,8.267175,12.278360
23,1981536,0.106624,1.918856,1.726838,17.734155,21.379849
24,1981424,0.028042,1.602455,2.237257,5.758444,9.598156
25,1980576,0.127176,1.862575,1.726602,5.728046,9.317223
26,1978448,0.038114,1.830940,1.726867,15.195804,18.753611
27,1977776,0.025649,1.876639,2.226409,6.133570,10.236618
28,1976736,0.135542,1.795744,2.190175,8.822372,12.808291
29,1976352,0.102603,1.637877,2.257038,14.345997,18.240912
30,1974416,0.021151,1.589309,2.156321,5.419121,9.164751
31,1974544,0.026524,1.788437,2.407220,5.081243,9.276900
32,1974144,0.016914,1.321333,2.198786,15.370404,18.890523
33,1971136,0.025788,1.607809,2.209999,5.494411,9.312219
34,1970784,0.037239,1.872007,2.200729,6.093658,10.166394
35,1970128,0.025222,1.578349,2.057864,16.906365,20.542578
36,1967584,0.019746,1.449250,1.797927,5.102912,8.350089
37,1964496,0.086232,1.701338,2.376101,4.990143,9.067582
38,1963056,0.023396,1.592078,2.172494,13.874753,17.639325
39,1959472,0.019848,1.548467,2.090937,5.287949,8.927353
40,1952416,0.065792,1.867961,2.047567,5.185692,9.101220
41,1949728,0.060590,1.885588,1.724558,16.034104,19.644250
42,1945248,0.126563,1.872329,2.391225,5.781327,10.044881
43,1941040,0.115464,1.864348,1.697651,4.808949,8.370948
44,1928896,0.081585,1.679645,2.194097,14.530557,18.404299
45,1918608,0.032732,1.538293,2.150743,5.110820,8.799856
46,1917904,0.022600,1.511790,2.125763,4.843706,8.481259
47,1913488,0.087005,1.572857,2.079763,14.874889,18.527509
48,1917008,0.105134,0.685470,2.241823,4.145201,7.072494
49,1924128,0.017214,0.498860,2.177538,3.427899,6.104297
50,1932400,0.110936,0.817934,2.362456,14.560109,17.740499
51,1934800,0.049394,0.807667,2.121963,4.719752,7.649382
52,1933488,0.143908,0.928141,2.136402,3.842084,6.906627
53,1937088,0.117000,0.727575,2.111576,19.570547,22.409698
54,1940176,0.040223,0.889009,1.763936,3.541116,6.194061
55,1939808,0.028103,0.709165,2.063203,3.744881,6.517249
56,1941552,0.020967,0.494770,2.094036,12.521073,15.109879
57,1946304,0.082280,0.709262,2.043894,6.460642,9.213798
58,1949504,0.132032,0.735815,2.209110,3.934750,6.879675
59,1952144,0.098677,0.606324,2.100468,11.897882,14.604674
60,1956048,0.089387,0.760429,2.366519,3.994457,7.121405
